ICMMID,Confidence.Factor,Mine_Name,Group_Names,Latitude,Longitude,Asset_Type,Country_Region,Primary_Commodity,Secondary_Commodity,Other_Commodities,Production,Processing,Net_GDP_Decrease,Risk_category
ICMM00369,Very Low,Baixos I,NA,-6.148,-37.149,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00370,Very Low,Barra Verde,NA,-6.165,-36.499,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00374,Very Low,"Mamoal, Nazario, Igarape Arraias",NA,-6.231,-55.849,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00375,Very Low,Brejui,Brejui;Sao Sebastiao Tungsten;Northeast Brazil Tin,-6.248,-36.51,Mine,Brazil,tin,tungsten,NA,TRUE,NA,33,Elevated
ICMM00376,Very Low,Saco Dos Veados,NA,-6.265,-36.582,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00377,Very Low,Barra Verde and Barra Vermelho Mines,NA,-6.283,-36.536,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00378,Very Low,Malhada Limpa Tungsten,NA,-6.298,-36.449,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00379,Very Low,Brejui,NA,-6.315,-36.582,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00383,Very Low,"Acari, Jardim Do Serido",NA,-6.365,-36.699,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00390,High,Sossego,Sossego;Sossego;Sossego;Sossego,-6.413,-50.063,Mine,Brazil,copper,gold,NA,TRUE,NA,56,Elevated
ICMM00394,Very Low,"Diniz, Sabuji, Retiro",NA,-6.448,-37.332,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00397,Very Low,"Timbauba, Alto Alegre",NA,-6.465,-37.749,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00398,Very Low,Garimpo Agua Branca,NA,-6.515,-50.283,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00399,Very Low,Quixere,NA,-6.554,-37.158,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00400,Very Low,Maloquinha,NA,-6.631,-57.466,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00403,Very Low,Malhada Dos Angicos,NA,-6.698,-36.749,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00405,Very Low,Rio Surubim,NA,-6.715,-56.249,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00406,Moderate,Carolina Gubbins,Carolina Gubbins;Tantahuatay,-6.722,-78.667,Mine,Peru,copper,gold,arsenic;lead;silver,TRUE,NA,56,Elevated
ICMM00407,Very Low,Igarape Santo Antonio,NA,-6.731,-57.549,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00425,Very Low,Punre Copper 24,NA,-7.006,-78.283,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00433,Very Low,Rio Manicore Jatuarana,NA,-7.331,-61.083,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00436,Very Low,San Judas Tadeo Iv,NA,-7.384,-79.09,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00437,Very Low,Colloadar Lead Zinc Mine 11,NA,-7.398,-78.575,Mine,Peru,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM00442,Moderate,Sayapullo,Sayapullo;Sayapullo;Sayaatoc,-7.599,-78.472,Mine,Peru,copper,silver,gold;lead;antimony;zinc,TRUE,NA,56,Elevated
ICMM00443,Very Low,Algamarca,NA,-7.615,-78.05,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00449,Very Low,Garimpo Mafui,NA,-7.881,-62.149,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00454,Very Low,Rio Marmelos Mafui,NA,-8.015,-61.849,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00459,Moderate,"Tamboras Y Mundo Nuevo, Minas","Tamboras Y Mundo Nuevo, Minas;Campaccha",-8.051,-77.97,Mine,Peru,copper,gold,lead;molybdenum;silver;tungsten;zinc,TRUE,NA,56,Elevated
ICMM00464,Very Low,Igarape Preto,NA,-8.248,-60.849,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00475,Very Low,"Animas, Mina",NA,-8.899,-78.253,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00477,Very Low,"Vale Un Peru, Mina",NA,-8.998,-78.033,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00479,Very Low,"Amistad, Mina",NA,-9.073,-77.458,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00481,Very Low,Poco,NA,-9.115,-63.149,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00483,Very Low,Duduca,NA,-9.148,-62.983,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00484,Very Low,Jacunda,NA,-9.148,-62.899,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00488,Very Low,Santa Barbara,NA,-9.198,-63.049,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00489,Very Low,"Los Brillantes, Mina",NA,-9.206,-76.537,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00490,Very Low,"Sao Francisco, Tiririca",NA,-9.215,-61.416,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00491,Very Low,Rio Coti,NA,-9.215,-65.016,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00496,Very Low,Morro Potosi,NA,-9.265,-62.866,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00497,Very Low,"El Extrano, Mina",NA,-9.265,-77.916,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00499,Very Low,Sao Francisco,NA,-9.281,-61.449,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00500,Very Low,Buena Cashma,Buena Cashma;Mangan,-9.299,-77.782,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00502,Very Low,Rio Das Garcas,NA,-9.298,-64.133,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00504,Very Low,"Queimada, Cachoeirinha",NA,-9.315,-62.283,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00506,Very Low,Macisa Mine,NA,-9.331,-65.083,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00508,Very Low,"Poderosa, Mina",NA,-9.331,-77.166,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00510,Very Low,"Sao Lourenco, Macisa, Caripunas, Limeira",NA,-9.365,-64.999,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00511,Very Low,Rio Jaci Parana,NA,-9.365,-64.383,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00512,Very Low,"Curayacu, Mina",NA,-9.365,-77.55,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00514,Very Low,"Buriti, Bom Futuro, Olho Diagua",NA,-9.381,-62.916,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00516,Very Low,Caritianas,NA,-9.398,-63.066,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00517,Very Low,"Decorfa Uno, Mina",NA,-9.398,-77.566,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00519,Very Low,Ceriumbras Best Group,NA,-9.448,-65.133,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00520,Very Low,Sao Lourenco,NA,-9.448,-65.033,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00521,Very Low,Igarape Alves,NA,-9.465,-65.166,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00522,Very Low,"Contonga, Mina",NA,-9.465,-77.466,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00523,Very Low,"El Milagro, Mina",NA,-9.465,-77.233,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00525,Very Low,"Esperada, Mina",NA,-9.481,-77.7,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00527,Very Low,"La Esperanza De Huaraz, Mina",NA,-9.498,-77.883,Mine,Peru,silver,copper,NA,TRUE,NA,36,Elevated
ICMM00531,Very Low,Wolfram Fortuna,NA,-9.508,-77.12,Mine,Peru,tungsten,NA,NA,TRUE,NA,544,High
ICMM00532,Very Low,"Chacpar, Mina",NA,-9.515,-72.366,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00537,Very Low,Oriente Novo,NA,-9.548,-62.416,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00538,High,Antamina,"Rosita De Oro, Mina;Antamina Mine;Antamina;Antamina;Antamina",-9.548,-77.055,Mine,Peru,copper,zinc,silver;molybdenum;lead,TRUE,NA,56,Elevated
ICMM00542,Very Low,"Los Tres Reyes, Mina",NA,-9.581,-77.497,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00546,Very Low,"Mi Porvenir, Mina",NA,-9.648,-77.166,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00548,Very Low,"Don Lorenzo, Mina",NA,-9.665,-77.5,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00549,Very Low,"San Elias, Mina.",NA,-9.681,-77.841,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00551,Very Low,"Tambillos, Mina",NA,-9.701,-77.216,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00554,Very Low,"Patricia A.P.R., Mina",NA,-9.731,-77.35,Mine,Peru,silver,antimony,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM00559,Very Low,"Santa Deda No 2, Mina",NA,-9.781,-77.633,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00560,Very Low,San Carlos,NA,-9.798,-63.033,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00561,Very Low,"San Salvador, Mina","San Salvador, Mina;Alerta, Mina;Juan Julio, Mina",-9.824,-77.461,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00565,Very Low,"Nuestra Senora Del Rosario, Mina",NA,-9.84,-77.841,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00566,High,Caraiba,Caraiba Copper Deposit;Caraiba;CaraÃ­ba;MCSA Mining Complex SXEW;Jaguarari Caraiba,-9.865,-39.867,Mine,Brazil,copper,gold,cobalt;nickel;palladium;platinum;rhodium;silver,TRUE,NA,56,Elevated
ICMM00568,High,Huanzala,"Huanzala;San Jose De Huan.;Huanzala;Monte De Chiripac, Mina;Carmen Del Macizo, Mina;Huanzala Mine;Huanzala (Santa Luisa);Huanzala",-9.874,-76.995,Mine,Peru,zinc,lead,copper;silver;gold,TRUE,NA,51,Elevated
ICMM00570,Very Low,Sirena Encantadora Mine,NA,-9.893,-77.058,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00579,Very Low,Cia Estanifera,NA,-9.998,-60.999,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00583,Very Low,"Gorrioncito, Mina","Gorrioncito, Mina;El Cojo, Mina",-10.023,-77.421,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00584,Very Low,"Jhon Rafael, Mina",NA,-10.031,-77.333,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00587,Very Low,Massangana,NA,-10.048,-63.383,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00589,Very Low,"San Hilarion, Mina",NA,-10.148,-77.333,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00590,Very Low,"Labor Pata, Sitio",NA,-10.151,-76.38,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM00601,Very Low,"Cabeza De Toro, Mina","Cabeza De Toro, Mina;Santa Ana De Tusi, Mina",-10.44,-76.348,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00602,Very Low,"El Dorado, Mina",NA,-10.441,-77.4,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00604,Moderate,Unidad Minera Caudalosa,Unidad Minera Caudalosa;Vinchos;Vinchos,-10.443,-76.278,Mine,Peru,silver,lead,copper;zinc,TRUE,NA,36,Elevated
ICMM00605,Very Low,Yana Mallcu,NA,-10.465,-66.466,Mine,Bolivia,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00610,Very Low,"Colquipucro, Mina",NA,-10.483,-76.515,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00621,Very Low,Cortezdredge,NA,-10.548,-63.716,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00623,Very Low,Milpo Mine,Milpo Mine;Atacocha,-10.569,-76.187,Mine,Peru,zinc,lead,silver;copper,TRUE,NA,51,Elevated
ICMM00628,High,El Porvenir,"Evita No. 1, Mina;El Porvenir Mine;Milpo 1;Atacocha;El Porvenir (Peru);El Porvenir;Atacocha",-10.6,-76.21,Mine,Peru,zinc,lead,copper;silver;gold,TRUE,NA,51,Elevated
ICMM00631,High,Raura,Raura;Minas Raura De Cajatambo Zinc Lead Deposit 6,-10.648,-76.733,Mine,Peru,zinc,lead,silver;copper,TRUE,NA,51,Elevated
ICMM00632,High,Cerro de Pasco,"El Pilar, Mina;Cerro De Pasco;Cerro de Pasco;Paragsha;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;Silver Stockpiles;Paragsha Plant;San Expedito Concentrator;Oxide Plant Plant",-10.673,-76.257,Mine,Peru,silver,zinc,lead;copper;gold;tin,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ICMM00638,High,El Brocal (Colquijirca),"Colquijirca, Mina;Colquijirca and Marcapunta Mines;Colquijica;Marcapunta;Tajo Norte;El Brocal (Colquijirca);El Brocal;Colquijirca",-10.753,-76.267,Mine,Peru,zinc,lead,silver;copper;gold,TRUE,NA,51,Elevated
ICMM00639,Very Low,Rio Mato Cavalo,NA,-10.771,-53.089,Mine,Brazil,platinum,NA,NA,TRUE,NA,54,Elevated
ICMM00643,Very Low,Best Mine,NA,-10.918,-62.843,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00649,Very Low,Huaron Mines,NA,-11.015,-76.45,Mine,Peru,silver,zinc,lead;copper;antimony,TRUE,NA,36,Elevated
ICMM00651,Very Low,Macambira,NA,-11.031,-61.283,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00652,High,Chungar,Chungar;Chungar;Chungar;Chungar,-11.037,-76.417,Mine,Peru,zinc,lead,copper;silver;gold,TRUE,NA,51,Elevated
ICMM00654,Very Low,Rio 14 De Abril,NA,-11.098,-60.833,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00655,Very Low,"Colquisa No. 1, Mina",NA,-11.114,-76.352,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00656,Moderate,Santander,Santander;Chungar Contact Metasomatic Copper 45;Chungar,-11.122,-76.532,Mine,Peru,zinc,lead,copper;silver;gold,TRUE,NA,51,Elevated
ICMM00662,High,Santander,"San Expedito;Santander;Santander, Peru;Santander, Peru",-11.195,-76.511,Mine,Peru,zinc,lead,copper,TRUE,NA,51,Elevated
ICMM00670,Very Low,Rio Roosevelt,NA,-11.265,-60.533,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00676,Moderate,Maria Teresa,Maria Teresa;Maria Teresa;Maria Teresa,-11.492,-77.269,Mine,Peru,silver,lead,zinc;barium;copper,TRUE,NA,36,Elevated
ICMM00681,High,Morococha,Morococha;Casapalca Gubbins Group;Morococha,-11.582,-76.178,Mine,Peru,silver,lead,tungsten;copper;zinc,TRUE,NA,36,Elevated
ICMM00683,High,Ticlio,Volcan Mines Zinc 25;Casapalca;Ticlio,-11.598,-76.21,Mine,Peru,zinc,lead,copper;silver,TRUE,NA,51,Elevated
,,,,,,,,,,,,,,
ICMM00686,High,Toromocho,Anticona Y Condenado;Morococha;Morococha;Toromocho;Toromocho,-11.604,-76.142,Mine,Peru,copper,molybdenum,lead;gold;silver;zinc,TRUE,NA,56,Elevated
ICMM00690,Very Low,"Americana, Mina",NA,-11.643,-76.262,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00692,High,Yauliyacu,"Casapalca;Coya, Mina;Eusta, Mina;Eloida Ii, Mina;Casapalca Centromin;Yauliyacu;Alpayana (Americana);Los Quenuales;Yauliyacu;Americana",-11.667,-76.231,Mine,Peru,zinc,lead,silver;copper;tungsten;arsenic,TRUE,NA,51,Elevated
ICMM00694,Very Low,"Colqui Camino, Minera",NA,-11.667,-76.5,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00695,High,Carahuacra Mine,Carahuacra Mine;Yauli;Carahuacra;Victoria Concentrator,-11.681,-76.089,Mine,Peru,zinc,lead,silver;copper,TRUE,NA,51,Elevated
ICMM00698,Moderate,Carahuacra,Carahuacra;San Cristobal Mine 5;Carahuacra;San cristobal;Yauli,-11.727,-76.068,Mine,Peru,copper,cobalt,gold;lead;nickel;silver;zinc,TRUE,NA,56,Elevated
,,,,,,,,,,,,,,
ICMM00706,Very Low,"Sarita, Mina",NA,-11.834,-76.328,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00707,Very Low,"Siberia, Mina",NA,-11.877,-76.251,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00708,Very Low,Azulcocha,NA,-11.915,-75.312,Mine,Peru,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM00710,Very Low,Cochas Region Lead Zinc Mine 48,NA,-11.948,-75.883,Mine,Peru,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM00713,Moderate,Gran Bretana Mine,Gran Bretana Mine;Azulcocha;Azulcocha,-12.062,-75.666,Mine,Peru,copper,gold,lead;manganese;silver;zinc,TRUE,NA,56,Elevated
ICMM00715,Very Low,Unidad San Juan/Millotingo,NA,-12.131,-76.3,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00720,High,Yauricocha,Yauricocha;Yauricocha;Yauricocha;Yauricocha;Yauricocha,-12.314,-75.721,Mine,Peru,silver,copper,lead;zinc;gold;arsenic;iron ore,TRUE,NA,36,Elevated
ICMM00722,Very Low,"Lourdes De Cerro De Pasco Dos, Mina",NA,-12.368,-74.8,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00725,Very Low,"Satanas, Mina",NA,-12.398,-75.066,Mine,Peru,zinc,NA,NA,TRUE,NA,51,Elevated
ICMM00726,Very Low,"Ricardo, Mina",NA,-12.452,-74.176,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00732,Very Low,"Ventanilla, Mina",NA,-12.578,-75.116,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00733,Very Low,Rio Apurimac Mina,NA,-12.586,-74,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM00738,Very Low,"Luna De Plata, Mina","Luna De Plata, Mina;Virginia Vii Mina;Mi Peru Uno, Mina",-12.694,-75.049,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00740,Moderate,Raul Mine,Raul Mine;Condestable Mine;Raul Condestable;Condestable,-12.696,-76.588,Mine,Peru,copper,gold,lead;silver;zinc,TRUE,NA,56,Elevated
ICMM00741,Very Low,"Carolina, Mina",NA,-12.701,-74.666,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
,,,,,,,,,,,,,,
ICMM00746,Very Low,"Espanola Uno, Mina",NA,-12.761,-74.333,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00747,Very Low,"Lucero No. 2, Mina",NA,-12.78,-72.144,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00756,High,Julcani,Julcani Mining District;Julcani;Julcani;Julcani,-12.95,-74.806,Mine,Peru,silver,lead,copper;gold;antimony;zinc,TRUE,NA,36,Elevated
ICMM00766,Very Low,"Pepito, Mina",NA,-13.031,-74.983,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00768,Very Low,"El Olivo, Mina",NA,-13.044,-75.066,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00770,Very Low,Cullioni I Mina,Cullioni I Mina;Osa Mayor Mina,-13.074,-73.784,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00777,Moderate,San Genaro Silver 26,San Genaro Silver 26;Santa Ines,-13.168,-75.158,Mine,Peru,silver,lead,gold;zinc,TRUE,NA,36,Elevated
ICMM00780,Very Low,Chavin Lead Zinc Mine 34,NA,-13.19,-75.65,Mine,Peru,zinc,copper,NA,TRUE,NA,51,Elevated
ICMM00782,Very Low,"Prosperidad No. 1, Mina",NA,-13.203,-75.23,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00785,Very Low,"Guido Daniel, Mina.",NA,-13.307,-72.354,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00788,Very Low,"16 De Octubre, Mina",NA,-13.361,-72.871,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00790,Very Low,"San Daniel, Mina",NA,-13.416,-75.466,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00794,Very Low,"Santa Alicia, Mina.",NA,-13.49,-71.705,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00798,Very Low,"Imelda No. 3, Mina",NA,-13.528,-70.922,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00802,Very Low,Rio De Contas Sn Occurrence,NA,-13.581,-41.832,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00803,Very Low,Paramirim Tin Occurrences,NA,-13.598,-42.216,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00804,Very Low,"Relampago No. 6, Mina",NA,-13.598,-75.414,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00805,Very Low,"Luna 3, Mina",NA,-13.598,-75.344,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00808,Very Low,Serra Branca,NA,-13.614,-48.066,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00823,High,Catalina Huanca Mina,Catalina Huanca Mina;Catalina Huanca;Catalina Huanca,-13.981,-73.936,Mine,Peru,zinc,lead,silver;copper,TRUE,NA,51,Elevated
ICMM00832,Moderate,Quenamari Copper 88,Quenamari Copper 88;San Rafael;San Rafael;Bofedal II,-14.23,-70.331,Mine,Peru,copper,lead,silver;tin;zinc,TRUE,NA,56,Elevated
ICMM00833,Very Low,"Chavez, Mina",NA,-14.229,-75.42,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00836,Very Low,"Leila, Mina","Leila, Mina;Santa Rosa, Mina",-14.304,-71.24,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00842,Very Low,"San Juan De Hercca, Mina",NA,-14.363,-71.208,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00848,High,Constancia,Katanga Copper Gold Deposit 36;Constancia,-14.455,-71.758,Mine,Peru,copper,molybdenum,silver;gold,TRUE,NA,56,Elevated
ICMM00849,Very Low,"Maria Dora, Mina",NA,-14.448,-71.033,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00857,Very Low,Machucruz Mina,NA,-14.606,-74.282,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00860,Very Low,San Juan De Lucanas Mina,NA,-14.664,-74.204,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00863,Very Low,"Palca Once Veins: Palca Oeste, Palca Este, Evita and Puncapolla","Palca Once Veins: Palca Oeste, Palca Este, Evita and Puncapolla;Palca X",-14.71,-69.68,Mine,Peru,tin,tungsten,NA,TRUE,NA,33,Elevated
ICMM00866,Very Low,El Rubi De Puquio Cia. Minera,NA,-14.752,-74.032,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00867,Very Low,Don Jorge Derecho Minero,NA,-14.785,-73.847,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00869,Very Low,"Joyel Brillante, Mina",NA,-14.839,-71.573,Mine,Peru,silver,NA,NA,TRUE,NA,36,Elevated
